material,particle_type,energy (MeV),fluence (e/cm^2),InP_pct,E_g_eV,State,V_OC_mV,W_OC_mV,J_SC,eta_pct,tau_id_ns
Ga0.31In0.69As0.67P0.33,electron,1,0,33,0.90,BOL,544,356,27.3,11.2,
Ga0.31In0.69As0.67P0.33,electron,1,1e15,33,0.90,EOL,359,541,21.9,5.3,0.09
Ga0.31In0.69As0.67P0.33,electron,1,1e15,33,0.90,2d Reg.,374,526,23.4,6.1,
Ga0.31In0.69As0.67P0.33,electron,1,1e15,33,0.90,9d Reg.,382,518,24.3,6.4,0.20
Ga0.23In0.77As0.49P0.51,electron,1,0,50,0.99,BOL,617,373,24.3,11.7,
Ga0.23In0.77As0.49P0.51,electron,1,1e15,50,0.99,EOL,432,558,20.1,6.3,0.075
Ga0.23In0.77As0.49P0.51,electron,1,1e15,50,0.99,2d Reg.,462,528,22.2,7.5,
Ga0.23In0.77As0.49P0.51,electron,1,1e15,50,0.99,9d Reg.,472,518,22.9,7.9,0.25
Ga0.16In0.84As0.34P0.66,electron,1,0,66,1.11,BOL,733,377,19.2,11.5,
Ga0.16In0.84As0.34P0.66,electron,1,1e15,66,1.11,EOL,534,576,16.3,6.4,0.05
Ga0.16In0.84As0.34P0.66,electron,1,1e15,66,1.11,2d Reg.,591,519,18.6,8.5,
Ga0.16In0.84As0.34P0.66,electron,1,1e15,66,1.11,9d Reg.,600,510,18.7,8.7,0.30
GaAs,electron,1,0,9,1.42,BOL,1054,366,34.6,30.8,
GaAs,electron,1,1e15,0,1.42,EOL,922,498,32.8,25.1,0.10
GaAs,electron,1,1e15,0,1.42,2d Reg.,922,498,32.5,24.9,0.10
